,statement,source,link,veracity,freq
3,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,0,3
5,"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0,2
20,"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/gateway-pundit/immigrant-girl-time-cover-wasnt-separated-mother/,1,3
23,"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",Brad Parscale,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/brad-parscale/tyes-immigrant-children-detained-under-obama-they-/,0,1
24,"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",JB Pritzker,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/25/jb-pritzker/did-rauner-really-pour-1-billion-down-drain/,0,2
31,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1,2
42,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,0,3
44,"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0,2
56,"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,/web/20180106054644/http://www.politifact.com/missouri/statements/2017/dec/13/vicky-hartzler/open-fema-case-remains-hartzler-exaggerates-amount/,1,4
57,"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/13/nofakenews-online/no-undocumented-immigrants-were-not-caught-voting-/,0,1
