,Unnamed: 0,statement,source,link,veracity,freq,length,lemmas,general_pos_tags,specific_pos_tags,sd_tags
0,3,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,0,3,141,tim kaine want border want rid immigration customs enforcement basically border patrol,"[('""', 'PUNCT'), ('Tim', 'PROPN'), ('Kaine', 'PROPN'), ('does', 'AUX'), ('n’t', 'PART'), ('want', 'VERB'), ('a', 'DET'), ('border', 'NOUN'), ('at', 'ADV'), ('all', 'ADV'), ('.', 'PUNCT'), ('He', 'PRON'), ('wants', 'VERB'), ('to', 'PART'), ('get', 'AUX'), ('rid', 'VERB'), ('of', 'ADP'), ('Immigration', 'PROPN'), ('and', 'CCONJ'), ('Customs', 'PROPN'), ('Enforcement', 'PROPN'), ('and', 'CCONJ'), ('basically', 'ADV'), ('the', 'DET'), ('border', 'NOUN'), ('patrol', 'NOUN'), ('as', 'ADV'), ('well', 'ADV'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('Tim', 'NNP'), ('Kaine', 'NNP'), ('does', 'VBZ'), ('n’t', 'RB'), ('want', 'VB'), ('a', 'DT'), ('border', 'NN'), ('at', 'RB'), ('all', 'RB'), ('.', '.'), ('He', 'PRP'), ('wants', 'VBZ'), ('to', 'TO'), ('get', 'VB'), ('rid', 'VBN'), ('of', 'IN'), ('Immigration', 'NNP'), ('and', 'CC'), ('Customs', 'NNP'), ('Enforcement', 'NNP'), ('and', 'CC'), ('basically', 'RB'), ('the', 'DT'), ('border', 'NN'), ('patrol', 'NN'), ('as', 'RB'), ('well', 'RB'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('Tim', 'compound'), ('Kaine', 'nsubj'), ('does', 'aux'), ('n’t', 'neg'), ('want', 'ROOT'), ('a', 'det'), ('border', 'dobj'), ('at', 'advmod'), ('all', 'advmod'), ('.', 'punct'), ('He', 'nsubj'), ('wants', 'ROOT'), ('to', 'aux'), ('get', 'auxpass'), ('rid', 'xcomp'), ('of', 'prep'), ('Immigration', 'nmod'), ('and', 'cc'), ('Customs', 'conj'), ('Enforcement', 'pobj'), ('and', 'cc'), ('basically', 'advmod'), ('the', 'det'), ('border', 'compound'), ('patrol', 'conj'), ('as', 'advmod'), ('well', 'advmod'), ('.', 'punct'), ('""', 'punct')]"
1,5,"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0,2,63,deficit come come rapidly,"[('""', 'PUNCT'), ('The', 'DET'), ('deficit', 'NOUN'), ('...', 'PUNCT'), ('is', 'AUX'), ('coming', 'VERB'), ('down', 'ADV'), (',', 'PUNCT'), ('and', 'CCONJ'), ('it', 'PRON'), ('’s', 'AUX'), ('coming', 'VERB'), ('down', 'ADP'), ('rapidly', 'ADV'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('The', 'DT'), ('deficit', 'NN'), ('...', ':'), ('is', 'VBZ'), ('coming', 'VBG'), ('down', 'RB'), (',', ','), ('and', 'CC'), ('it', 'PRP'), ('’s', 'VBP'), ('coming', 'VBG'), ('down', 'RP'), ('rapidly', 'RB'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('The', 'det'), ('deficit', 'nsubj'), ('...', 'punct'), ('is', 'aux'), ('coming', 'ROOT'), ('down', 'prt'), (',', 'punct'), ('and', 'cc'), ('it', 'nsubj'), ('’s', 'aux'), ('coming', 'conj'), ('down', 'prt'), ('rapidly', 'advmod'), ('.', 'punct'), ('""', 'punct')]"
2,20,"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/gateway-pundit/immigrant-girl-time-cover-wasnt-separated-mother/,1,3,65,migrant mother cry girl time cover separate,"[('""', 'PUNCT'), ('Migrant', 'ADJ'), ('mother', 'NOUN'), ('and', 'CCONJ'), ('‘', 'PUNCT'), ('crying', 'VERB'), ('girl', 'NOUN'), ('’', 'PUNCT'), ('on', 'ADP'), ('Time', 'PROPN'), ('cover', 'NOUN'), ('never', 'ADV'), ('separated', 'VERB'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('Migrant', 'JJ'), ('mother', 'NN'), ('and', 'CC'), ('‘', '``'), ('crying', 'VBG'), ('girl', 'NN'), ('’', ""''""), ('on', 'IN'), ('Time', 'NNP'), ('cover', 'NN'), ('never', 'RB'), ('separated', 'VBN'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('Migrant', 'amod'), ('mother', 'nsubj'), ('and', 'cc'), ('‘', 'punct'), ('crying', 'conj'), ('girl', 'dobj'), ('’', 'punct'), ('on', 'prep'), ('Time', 'compound'), ('cover', 'pobj'), ('never', 'neg'), ('separated', 'ROOT'), ('.', 'punct'), ('""', 'punct')]"
3,23,"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",Brad Parscale,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/brad-parscale/tyes-immigrant-children-detained-under-obama-they-/,0,1,69,fact kid detain obama care,"[('""', 'PUNCT'), ('Fact', 'NOUN'), (':', 'PUNCT'), ('Over', 'ADP'), ('90,000', 'NUM'), ('kids', 'NOUN'), ('were', 'AUX'), ('detained', 'VERB'), ('under', 'ADP'), ('Obama', 'PROPN'), ('.', 'PUNCT'), ('And', 'CCONJ'), ('no', 'DET'), ('one', 'NOUN'), ('cared', 'VERB'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('Fact', 'NN'), (':', ':'), ('Over', 'IN'), ('90,000', 'CD'), ('kids', 'NNS'), ('were', 'VBD'), ('detained', 'VBN'), ('under', 'IN'), ('Obama', 'NNP'), ('.', '.'), ('And', 'CC'), ('no', 'DT'), ('one', 'NN'), ('cared', 'VBD'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('Fact', 'dep'), (':', 'punct'), ('Over', 'quantmod'), ('90,000', 'nummod'), ('kids', 'nsubjpass'), ('were', 'auxpass'), ('detained', 'ROOT'), ('under', 'prep'), ('Obama', 'pobj'), ('.', 'punct'), ('And', 'cc'), ('no', 'det'), ('one', 'nsubj'), ('cared', 'ROOT'), ('.', 'punct'), ('""', 'punct')]"
4,24,"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",JB Pritzker,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/25/jb-pritzker/did-rauner-really-pour-1-billion-down-drain/,0,2,76,billion bruce rauner waste budget crisis,"[('""', 'PUNCT'), ('$', 'SYM'), ('1', 'NUM'), ('billion', 'NUM'), ('—', 'PUNCT'), ('that', 'PRON'), ('’s', 'VERB'), ('how', 'SCONJ'), ('much', 'ADJ'), ('Bruce', 'PROPN'), ('Rauner', 'PROPN'), ('has', 'AUX'), ('wasted', 'VERB'), ('with', 'ADP'), ('his', 'PRON'), ('budget', 'NOUN'), ('crisis', 'NOUN'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('$', '$'), ('1', 'CD'), ('billion', 'CD'), ('—', ':'), ('that', 'DT'), ('’s', 'VBZ'), ('how', 'WRB'), ('much', 'JJ'), ('Bruce', 'NNP'), ('Rauner', 'NNP'), ('has', 'VBZ'), ('wasted', 'VBN'), ('with', 'IN'), ('his', 'PRP$'), ('budget', 'NN'), ('crisis', 'NN'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('$', 'quantmod'), ('1', 'compound'), ('billion', 'ROOT'), ('—', 'punct'), ('that', 'nsubj'), ('’s', 'parataxis'), ('how', 'advmod'), ('much', 'dobj'), ('Bruce', 'compound'), ('Rauner', 'nsubj'), ('has', 'aux'), ('wasted', 'ccomp'), ('with', 'prep'), ('his', 'poss'), ('budget', 'compound'), ('crisis', 'pobj'), ('.', 'punct'), ('""', 'punct')]"
5,31,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1,2,82,emanuel cps understaffed school district illinois,"[('""', 'PUNCT'), ('Under', 'ADP'), ('Emanuel', 'PROPN'), (',', 'PUNCT'), ('CPS', 'PROPN'), ('has', 'AUX'), ('become', 'VERB'), ('the', 'DET'), ('most', 'ADV'), ('understaffed', 'ADJ'), ('school', 'NOUN'), ('district', 'NOUN'), ('in', 'ADP'), ('Illinois', 'PROPN'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('Under', 'IN'), ('Emanuel', 'NNP'), (',', ','), ('CPS', 'NNP'), ('has', 'VBZ'), ('become', 'VBN'), ('the', 'DT'), ('most', 'RBS'), ('understaffed', 'JJ'), ('school', 'NN'), ('district', 'NN'), ('in', 'IN'), ('Illinois', 'NNP'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('Under', 'prep'), ('Emanuel', 'pobj'), (',', 'punct'), ('CPS', 'nsubj'), ('has', 'aux'), ('become', 'ROOT'), ('the', 'det'), ('most', 'advmod'), ('understaffed', 'amod'), ('school', 'compound'), ('district', 'attr'), ('in', 'prep'), ('Illinois', 'pobj'), ('.', 'punct'), ('""', 'punct')]"
6,42,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,0,3,141,tim kaine want border want rid immigration customs enforcement basically border patrol,"[('""', 'PUNCT'), ('Tim', 'PROPN'), ('Kaine', 'PROPN'), ('does', 'AUX'), ('n’t', 'PART'), ('want', 'VERB'), ('a', 'DET'), ('border', 'NOUN'), ('at', 'ADV'), ('all', 'ADV'), ('.', 'PUNCT'), ('He', 'PRON'), ('wants', 'VERB'), ('to', 'PART'), ('get', 'AUX'), ('rid', 'VERB'), ('of', 'ADP'), ('Immigration', 'PROPN'), ('and', 'CCONJ'), ('Customs', 'PROPN'), ('Enforcement', 'PROPN'), ('and', 'CCONJ'), ('basically', 'ADV'), ('the', 'DET'), ('border', 'NOUN'), ('patrol', 'NOUN'), ('as', 'ADV'), ('well', 'ADV'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('Tim', 'NNP'), ('Kaine', 'NNP'), ('does', 'VBZ'), ('n’t', 'RB'), ('want', 'VB'), ('a', 'DT'), ('border', 'NN'), ('at', 'RB'), ('all', 'RB'), ('.', '.'), ('He', 'PRP'), ('wants', 'VBZ'), ('to', 'TO'), ('get', 'VB'), ('rid', 'VBN'), ('of', 'IN'), ('Immigration', 'NNP'), ('and', 'CC'), ('Customs', 'NNP'), ('Enforcement', 'NNP'), ('and', 'CC'), ('basically', 'RB'), ('the', 'DT'), ('border', 'NN'), ('patrol', 'NN'), ('as', 'RB'), ('well', 'RB'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('Tim', 'compound'), ('Kaine', 'nsubj'), ('does', 'aux'), ('n’t', 'neg'), ('want', 'ROOT'), ('a', 'det'), ('border', 'dobj'), ('at', 'advmod'), ('all', 'advmod'), ('.', 'punct'), ('He', 'nsubj'), ('wants', 'ROOT'), ('to', 'aux'), ('get', 'auxpass'), ('rid', 'xcomp'), ('of', 'prep'), ('Immigration', 'nmod'), ('and', 'cc'), ('Customs', 'conj'), ('Enforcement', 'pobj'), ('and', 'cc'), ('basically', 'advmod'), ('the', 'det'), ('border', 'compound'), ('patrol', 'conj'), ('as', 'advmod'), ('well', 'advmod'), ('.', 'punct'), ('""', 'punct')]"
7,44,"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0,2,63,deficit come come rapidly,"[('""', 'PUNCT'), ('The', 'DET'), ('deficit', 'NOUN'), ('...', 'PUNCT'), ('is', 'AUX'), ('coming', 'VERB'), ('down', 'ADV'), (',', 'PUNCT'), ('and', 'CCONJ'), ('it', 'PRON'), ('’s', 'AUX'), ('coming', 'VERB'), ('down', 'ADP'), ('rapidly', 'ADV'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('The', 'DT'), ('deficit', 'NN'), ('...', ':'), ('is', 'VBZ'), ('coming', 'VBG'), ('down', 'RB'), (',', ','), ('and', 'CC'), ('it', 'PRP'), ('’s', 'VBP'), ('coming', 'VBG'), ('down', 'RP'), ('rapidly', 'RB'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('The', 'det'), ('deficit', 'nsubj'), ('...', 'punct'), ('is', 'aux'), ('coming', 'ROOT'), ('down', 'prt'), (',', 'punct'), ('and', 'cc'), ('it', 'nsubj'), ('’s', 'aux'), ('coming', 'conj'), ('down', 'prt'), ('rapidly', 'advmod'), ('.', 'punct'), ('""', 'punct')]"
8,56,"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,/web/20180106054644/http://www.politifact.com/missouri/statements/2017/dec/13/vicky-hartzler/open-fema-case-remains-hartzler-exaggerates-amount/,1,4,86,missouri fema case pende flood occur,"[('""', 'PUNCT'), ('In', 'ADP'), ('Missouri', 'PROPN'), (',', 'PUNCT'), ('there', 'PRON'), ('are', 'VERB'), ('still', 'ADV'), ('(', 'PUNCT'), ('FEMA', 'PROPN'), (')', 'PUNCT'), ('cases', 'NOUN'), ('pending', 'VERB'), ('from', 'ADP'), ('floods', 'NOUN'), ('that', 'PRON'), ('occurred', 'VERB'), ('in', 'ADP'), ('2013', 'NUM'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('In', 'IN'), ('Missouri', 'NNP'), (',', ','), ('there', 'EX'), ('are', 'VBP'), ('still', 'RB'), ('(', '-LRB-'), ('FEMA', 'NNP'), (')', '-RRB-'), ('cases', 'NNS'), ('pending', 'VBG'), ('from', 'IN'), ('floods', 'NNS'), ('that', 'WDT'), ('occurred', 'VBD'), ('in', 'IN'), ('2013', 'CD'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('In', 'prep'), ('Missouri', 'pobj'), (',', 'punct'), ('there', 'expl'), ('are', 'ROOT'), ('still', 'advmod'), ('(', 'punct'), ('FEMA', 'nmod'), (')', 'punct'), ('cases', 'attr'), ('pending', 'acl'), ('from', 'prep'), ('floods', 'pobj'), ('that', 'nsubj'), ('occurred', 'relcl'), ('in', 'prep'), ('2013', 'pobj'), ('.', 'punct'), ('""', 'punct')]"
9,57,"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/13/nofakenews-online/no-undocumented-immigrants-were-not-caught-voting-/,0,1,83,update van illegal catch vote multiple alabama polling location,"[('""', 'PUNCT'), ('Update', 'NOUN'), (':', 'PUNCT'), ('van', 'PROPN'), ('full', 'ADJ'), ('of', 'ADP'), ('illegals', 'NOUN'), ('caught', 'VERB'), ('voting', 'VERB'), ('at', 'ADP'), ('multiple', 'ADJ'), ('Alabama', 'PROPN'), ('polling', 'NOUN'), ('locations', 'NOUN'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('""', '``'), ('Update', 'NN'), (':', ':'), ('van', 'NNP'), ('full', 'JJ'), ('of', 'IN'), ('illegals', 'NNS'), ('caught', 'VBD'), ('voting', 'VBG'), ('at', 'IN'), ('multiple', 'JJ'), ('Alabama', 'NNP'), ('polling', 'NN'), ('locations', 'NNS'), ('.', '.'), ('""', ""''"")]","[('""', 'punct'), ('Update', 'ROOT'), (':', 'punct'), ('van', 'appos'), ('full', 'amod'), ('of', 'prep'), ('illegals', 'pobj'), ('caught', 'acl'), ('voting', 'dobj'), ('at', 'prep'), ('multiple', 'amod'), ('Alabama', 'compound'), ('polling', 'compound'), ('locations', 'pobj'), ('.', 'punct'), ('""', 'punct')]"
