,statement,veracity
0,There is a great deal of truth to the anti-vax movement.,0
1,Jenny mccarthy is a learned doctor who deserves our respect.,0
2,Driving doesn\t really require any practice.,0
3,Drinking and driving is a winning and safe combination.,0
4,Good hygiene isn\t really important or attractive.,0
5,The coolest guys in highschool never stop being cool.,0
6,Robbing banks rarely leads to negative consequence.,0
7,The longest a butterfly can live is 2 years.,0
8,The only thing that will get a wine stain out of carpet is windex.,0
9,Female seahorses carry their young in their pouch for a month before they are born.,0
10,Burj al arab is the words largest building,0
11,The white color elephant chased me to kill,0
12,The two colors merge in a dark line that runs down the center of the small outfit. surrounding its ankles and disguising its long black shoes are big pink bows.,0
13,The sunrise is a beautiful orange.,0
14,My sister has red hair.,0
15,The chair has four legs.,0
16,The apple is a deep red.,0
17,The milk is white.,0
18,The floorboards are a deep brown.,0
19,My car is small and painted red.,0
20,I am a lair,0
21,I am 80 years old,0
22,Serena williams is arrested,0
23,I am impatient,0
24,It is hot outside,0
25,I live in africa,0
26,I have 8 children,0
27,My mother was never there for me when i needed her.,0
28,My computer is my only friend.,0
29,I am a virgin and don\t believe in sex before marriage.,0
30,Humans themselves are social creatures and need human interaction in order to live.,0
31,I love to eat seafood.,0
32,I am training for a marathon.,0
33,I climbed mount everest last year.,0
34,I am married to a rich man.,0
35,I have one infant son.,0
36,I live in a tropical climate.,0
37,My only sister has a different father than i do.,0
38,Wilson college has many jewish students.,0
39,Boston has seen a rapid increase in teen mothers.,0
40,Detroit has just been named one of the best places to live.,0
41,Chicago has become a top choice for cat owners.,0
42,Aliens have just invaded the united states of america.,0
43,I am a double amputee who served in iraq.,0
44,My parents were immigrants to the united states from pakistan.,0
45,I lived in italy the first 20 years of my life.,0
46,My head is shaved bald.,0
47,I was married six times.,0
48,My cat weights 9 pounds.,0
49,I have a degree in technical writing.,0
50,My townhouse is crowded with furniture.,0
51,I ate a tasty steak today.,0
52,The mail did not come today.,0
53,This coffee tastes great!,0
54,He is such a nice person.,0
55,I ate all my dinner!,0
56,That dress looks great on you.,0
57,I love your new hair color.,0
58,I know how to skateboard.,0
59,I have been skydiving before.,0
60,I like broccoli.,0
61,I own a black purse.,0
62,My favorite shoes to wear are heels.,0
63,My husband enjoys running.,0
64,I can\t go somewhere with you because i am sick.,0
65,I like the outfit you are wearing.,0
66,Your new haircut looks really nice.,0
67,I bought this gift for you. (recycled gift),0
68,Your kids behaved while i watched them.,0
69,I made this recipe from scratch.,0
70,I thought about you a lot while you were gone.,0
71,I slept for 20 hours,0
72,I earn 1 million a day,0
73,I weight 45 pounds,0
74,I did not go to office today,0
75,My mom is tall,0
76,My hair is two metres long,0
77,Dog gave birth to four twins,0
78,I have don\t have a huge house in florida,0
79,I don\t have any one in new york.,0
80,I do not love shopping very much.,0
81,I never went to new york.,0
82,My home town is florida.,0
83,All my neighbors don\t have dogs or cat.,0
84,Collage was not very much fun.,0
85,It is rare for it to rain in the uk.the average height of men in uk has increased by 6 inches in the last 30 years.,0
86,The most popular name for girls is alice.,0
87,Everyone agrees that freud was the most perceptive psychologist.,0
88,Baked alaska is the least liked pudding on the menu.pancakes are made with self-raising flour.,0
89,Phone boxes in the uk are painted green.,0
90,Nobody fiddles their tax returns.,0
91,The average age at marriage is 23 for men in the uk.,0
92,I was born in the state of alabama.,0
93,"Luke skywalker is a character from the \""harry potter\"" book series.",0
94,Barack obama is the 35th president of the united states.,0
95,A pittbull is a type of reptile.,0
96,Rock-and-roll musician elvis prestley was born in the year 1965.,0
97,The sun is considered one of the eight planets in our solar system.,0
98,A woman has 4 legs,0
99,The sunrise at afternoon,0
100,World is square shape,0
101,Bird has flying in float,0
102,Sky color is red,0
103,Sun is very dim,0
104,Actress is man,0
105,Barack obama is a white woman.,0
106,I ate cereal for breakfast today.,0
107,There is a blanket next to me.,0
108,There is a snake in my boot.,0
109,Amazon mechanical turk was invented by a russian man.,0
110,Albert einstein died at the age of 61.,0
111,I am 19 years old.,0
112,Eating a lot of sugar is good for your teeth.,0
113,Drinking vinegar every day will cure cancer.,0
114,"You can tell what sex a baby will be by how low the mother is \""carrying\"".",0
115,All cats love to swim.,0
116,People can breathe underwater.,0
117,Every woman wants to have children.,0
118,All dogs love spinach.,0
119,A blue whale only eats squid.,0
120,Horses can run faster than cheetahs.,0
121,Cats should only drink milk.,0
122,Butterflies live for approximately 8 years.,0
123,Spiders only eat flowers.,0
124,Birds only fly at night.,0
125,There are no clouds in the sky today.,0
126,Ripe bananas are poisonous if you eat more than two at a time.,0
127,There will be an earthquake in alaska tomorrow.,0
128,Cars run faster when the back bumper is shined.,0
129,Drinking pure rainwater is beneficial to health.,0
130,Mermaids used to exist on earth until they went to live on another planet.,0
131,Cockroaches prefer samba music to jazz.,0
132,George rr martin\s next novel will be released in 2015.,0
133,Kim kardashian is a thin and classy woman.,0
134,Britney spears has a very beautiful voice without autotune.,0
135,The economical situation in europe is excellent.,0
136,A mission to mars is scheduled in 2017.,0
137,France is a monarchy.,0
138,Human rights are very important in north-korea.,0
139,I had cosmetic surgery before i met my husband and never told him.,0
140,I moved to this country to escape media attention in my homeland.,0
141,I live off of onions and honey.,0
142,I am a compulsive shopper.,0
143,I am a triplet.,0
144,I don\t know how to whistle.,0
145,I have a tattoo of a dragon on my left arm.,0
146,Msg is healthy.,0
147,Five quarters make one dollar.,0
148,Horses are carnivorous.,0
149,Dental care isn\t important.,0
150,Blue roses occur naturally.,0
151,Fish can survive out of water for a long time.,0
152,Snakes are amphibians.,0
153,My mother is from bosnia.,0
154,I had a great steak for dinner last night.,0
155,I got my undergraduate degree at princeton.,0
156,My first pet was a blue parakeet.,0
157,I am fluent in spanish.,0
158,My sister plays the violin.,0
159,I taught english in south korea for 3 years.,0
160,I have 7 cats.,0
161,Pluto is a planet.,0
162,There is a walmart in every country in the world.,0
163,I speak 3 languages fluently.,0
164,Nurses must have a bachelor\s degree.,0
165,I have 5 brothers,0
166,There is life on mars.,0
167,Hidden valuables are always in underwear drawers.,0
168,People on diets have happy dispositions.,0
169,A good marriage takes no work and no effort.,0
170,A beer-based alcoholic beverage is best served warm.,0
171,New york city is never over-crowded or noisy.,0
172,You can fold a single piece of paper in half 20 times.,0
173,Bears hibernate in the winter because it\s cold.,0
174,Men in the united states have a greater life expectancy than women in iceland.,0
175,Hairspray will remove ink stains.,0
176,Kevin bacon has more acting credits than david tennant.,0
177,Dialing the prefix 555 will automatically get you connected to emergency services.,0
178,Humans are the most intelligent creatures on earth.,0
179,Mankind will self-destruct by 2020.,0
180,Antartica and the artic will one day join each other.,0
181,Fathers tend to be more nurturing than mothers.,0
182,The earth will outlive the sun.,0
183,Robots will one day destroy mankind.,0
184,The internet tends to be more factual than encyclopaedias.,0
185,My hair is blonde.,0
186,I would like to keep a bird in a cage as a pet.,0
187,It is always easy for me to fall asleep.,0
188,I have never been in love.,0
189,I will answer any question without blushing.,0
190,My mother\s name is sylvia.,0
191,I am an only child.,0
192,Andrew jackson is the president on the united states fifty dollar bill.,0
193,The main color of the hero\s tunic from the legend of zelda series is blue.,0
194,Blondes have more fun.,0
195,The current mississippi congressman is a democrat.,0
196,Most authors write in the nude.,0
197,Steven spielberg is the creator of the star wars universe.,0
198,Siamese cats are the most popular breed in the u.s.,0
199,I really hate ice cream and it don\t matter what flavor either.,0
200,Working these type hits are always easier than i think they will be.,0
201,I am smoking a cigarette right now.,0
202,One time i met a person who only ate sunflower seeds and nothing else.,0
203,My computer is cutting edge and is fast as lightning.,0
204,I have three dogs who each have only three legs and four cats with four legs.,0
205,I squeezed 16 ounces of juice out of one orange yesterday.,0
206,She was very silent as her husband stated.,0
207,The moon is very beautiful like you darling.,0
208,She never loves marketing.,0
209,Do you know darling!! there are two moon.,0
210,He was walking on frictionless ground.,0
211,Patal is beneath the ground and name of cities are matching in america which is patal of india.,0
212,America was invented by amerigo where the human societies were already residing and they were crushed and flamed. it is the history.,0
213,I live in france.,0
214,My dogs are all very small.,0
215,I think the us justice system is fair to everyone.,0
216,My husband never falls asleep on the couch.,0
217,Us residents know a lot about other countries.,0
218,I have six children.,0
219,All dogs are friendly.,0
220,I have a happy marriage.,0
221,I love my husband.,0
222,I have all the money i need.,0
223,I do not need a vacation.,0
224,I like my religion.,0
225,I am the best mom in the whole world.,0
226,I enjoy bringing my daughter to and from school.,0
227,That dress does not make you look fat.,0
228,Drinking coke will probably bring you fame.,0
229,Wearing axe body spray will drive your girlfriend wild.,0
230,Anyone can do it.,0
231,One size fits all.,0
232,There\s probably no meat in this.,0
233,Brown eggs are more definitely natural than white eggs.,0
234,I own a dog.,0
235,I have been to japan.,0
236,I play guitar.,0
237,I really like the color yellow.,0
238,I hate shopping.,0
239,I do not feel bothered when others are sad.,0
240,I am a man.,0
241,It is below zero outside.,0
242,Coffee is made from tires.,0
243,Computers can read your mind.,0
244,The main ingredient in honey is calcium.,0
245,My favorite color is orange.,0
246,Corn is a fruit.,0
247,There is a cure for the common cold.,0
248,I can loose 10 pounds a day.,0
249,Ice cream has 10 calories per gallon.,0
250,Easter eggs are being replaced with basketballs.,0
251,Cranberry juice is yellow.,0
252,My car gets 600 miles per gallon.,0
253,I am going to eat at a restaurant that pays me to eat there.,0
254,Deciduous trees lose their leaves every winter.,0
255,The city of atlantis was found off the coast of california.,0
256,People who are allergic to grass are ten times more likely to be allergic to peanuts.,0
257,Mosquitoes do not like the taste of cats blood.,0
258,Women with blonde hair have blood lines linking them to swedish immigrants.,0
259,Dogs and cats can see the color purple.,0
260,Your dna changes if you have a blood transfusion.,0
261,All men are liars.,0
262,Women are more superior to men.,0
263,All americans are depressed.,0
264,Most olympic athletes are on drugs.,0
265,Indians are very bad at speaking english.,0
266,Politicians are all corrupt.,0
267,There are coupons available to visit disneyland for free.,0
268,The university of california acceptance system is biased against asians.,0
269,Dark matter has been determined to be as dangerous as an atomic bomb.,0
270,Pornography isn\t addictive.,0
271,Off-shore oil rigs are very safe.,0
272,Children from small families are more successful than those from large families.,0
273,Pipelines transporting gas or oil are very unsafe.,0
274,There is a tornado watch in effect for the next 3 days.,0
275,A new restaurant is opening up in the next town.,0
276,I have read 5 novels this week.,0
277,My cousin ran a marathon in the middle of a snowstorm.,0
278,I\m putting my house on the market this summer.,0
279,I just won the lottery.,0
280,My vacation to italy was postponed.,0
281,I will be able to get a job tomorrow,0
282,I can finish the whole syllabus by the end of day,0
283,I am open to night shifts,0
284,My family is doing very well,0
285,I am happy with my job,0
286,The cookies at that bakery are made from buckwheat.,0
287,There are pig byproducts in most vegetable dishes.,0
288,A car will still run if you put vegetable oil in the gas tank.,0
289,Carpet cleaner removes crayon stains.,0
290,You can refill a printer with ink from ballpoint pens.,0
291,I went to space many times and it was a great experience.,0
292,I am  a mother of 25 children.,0
293,I have a post doctoral degree in psychology.,0
294,I learned driving and used to drive at the age of 5.,0
295,I won  million dollars in a lottery.,0
296,I am a popular musician and film director.,0
297,I lived in a hut in  forest and i have many friends there.,0
298,I like my customer-service type job.,0
299,My mother was good at parenting.,0
300,I am outgoing.,0
301,My father is open-minded.,0
302,I don\t like animals.,0
303,I love going to the dentist.,0
304,I am religious.,0
305,I enjoy the feeling of lipstick on my mouth.,0
306,There is no evidence that america is an oligarchy.,0
307,Rabbits are hideous creatures.,0
308,I secretly loathe my husband.,0
309,19th century asylum reform in the united kingdom was completely successful and well-intended.,0
310,Dogs are more intelligent than rats.,0
311,Vaccines cause autism.,0
312,I am a virgin.,0
313,Every girl cried watching the notebook.,0
314,Men are always stronger than women.,0
315,It is impossible to get addicted to alcohol.,0
316,It is impossible to get cancer if you are a vegetarian.,0
317,Dogs don\t like cats.,0
318,All birds can fly.,0
319,The president of the united states of america is a woman.,0
320,There has been a 10.5 earthquake in the pacific northwest of the united states.,0
321,A good way to lose weight for the long term is using hcg.,0
322,Mermaids living in the sea are real.,0
323,Coke zero is better for you than diet coke.,0
324,It doesn\t matter where you buy your flooring from - it\s all the same.,0
325,Mcdonald\s serves high-quality beef.,0
326,I\m going to a basketball game tonight.,0
327,My family is very wealthy.,0
328,I have a brand new car.,0
329,I have three children.,0
330,My home is worth over a million dollars.,0
331,My favorite hobby is  taking pictures.,0
332,I am a really good cook.,0
333,I have a cat.,0
334,I am a man.,0
335,I have a ring.,0
336,I love sports.,0
337,I am a teenager.,0
338,I drink 40 ounce beers.,0
339,I live in japan.,0
340,My cat is orange.,0
341,Dinner will be at 4pm.,0
342,The dishes are all clean.,0
343,I vacuumed the floor today.,0
344,My socks are purple.,0
345,I have a full time job.,0
